Articles,Contributions,Source,Annotation1,Annotation2
Innovation or imitation: The diffusion of citations,Introducing diffusion‐of‐innovations theory as a tool for analyzing the dynamic process of citation;,JASIST,Theory Proposal,Theory Proposal
Innovation or imitation: The diffusion of citations,Exploring how diffusion patterns influence scientific impact; and,JASIST,Performance Evaluation,Performance Evaluation
Innovation or imitation: The diffusion of citations,Providing a simple method for roughly estimating a article's present status and potential in garnering scientific impact.,JASIST,New Algorithm or Method or Technology,New Algorithm or Method or Technology
MF‐Re‐Rank: A modality feature‐based Re‐Ranking model for medical image retrieval,the findings reveal that modality features are crucial information for medical image retrieval.,JASIST,Performance Evaluation,Theory Proposal
A fuzzy clustering‐based denoising model for evaluating uncertainty in collaborative filtering recommender systems,determining the proportion of potentially noisy ratings by empirically categorizing the entropy and evaluation metrics,JASIST,Performance Evaluation,Performance Evaluation
A fuzzy clustering‐based denoising model for evaluating uncertainty in collaborative filtering recommender systems,detecting the natural noise by grouping the behaviors of users into several clusters,JASIST,Performance Evaluation,Algorithm or Method or Technology Optimization
Identifying bacterial biotope entities using sequence labeling: Performance and feature analysis,The comparison of different machine learning methods provides insights on model selection for bacterial and potentially other biotope entity recognition tasks.,JASIST,Model Optimization,Model Optimization
Identifying bacterial biotope entities using sequence labeling: Performance and feature analysis,"The investigation on the performance impact of different features separates robust features from others, reveals rather dramatic effects of some features on certain methods, and sheds lights on the relative usefulness of word clusters built from task‐specific versus more general corpus using a traditional clustering method vs. a newer word embedding approach. ",JASIST,Performance Evaluation,Algorithm or Method or Technology Optimization
Modeling citation dynamics of “atypical” articles,we contribute a modeling framework for the analysis of atypical citation patterns in articles,JASIST,Model Construction,Model Construction
"Adaptation, translation, and validation of information literacy assessment instrument",The current research has contributed to the field of measurement.,JASIST,Resources,Resources
"Adaptation, translation, and validation of information literacy assessment instrument",The present study has demonstrated that the adapted and translated TRAILS can be used as a valid and reliable instrument for secondary school students’ information literacy assessment.,JASIST,Applications,Applications
Predictive models and analysis for webpage depth‐level dwell time,"To the best of our knowledge, this is the first work that studies page depth‐level dwell time prediction. We define a new problem in viewability prediction in order to build new ad pricing standards.",JASIST,Resources,Resources
Predictive models and analysis for webpage depth‐level dwell time,"We are the first to propose predictive models based on FM and FFM to solve this new problem, and we show that our proposed models outperform other comparison methods.",JASIST,Model Construction,Model Construction
Predictive models and analysis for webpage depth‐level dwell time,We demonstrate that adding time series information can further improve the model performance.,JASIST,Theory Proposal,Theory Proposal
Predictive models and analysis for webpage depth‐level dwell time,We also present the analysis of feature combinations and provide insights on publishers' ad business strategies.,JASIST,Performance Evaluation,Performance Evaluation
An intrinsic information content‐based semantic similarity measure considering the disjoint common subsumers of concepts of an ontology,"We propose an intrinsic IC‐based information theoretic SS calculator for measuring the SS between two concepts of an ontology. To build our similarity model, we use our proposed DCS. ",JASIST,Model Construction,Model Construction
An intrinsic information content‐based semantic similarity measure considering the disjoint common subsumers of concepts of an ontology,We also propose an algorithm for finding the members of DCS. The accuracy of the proposed SS calculator is assessed thoroughly using a variety of benchmark data sets.,JASIST,New Algorithm or Method or Technology,New Algorithm or Method or Technology
An intrinsic information content‐based semantic similarity measure considering the disjoint common subsumers of concepts of an ontology,"We also bring three different ontologies, namely, WordNet,1 SNOMED‐CT,2 and MeSH (Hliaoutakis, 2005) from different domains under one umbrella to evaluate our proposed SS calculation model as well as state‐of‐the‐art models.",JASIST,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization
Researchers' uses of and disincentives for sharing their research identity information in research information management systems,How do researchers use RIMSs? For what activities do researchers use online RIMSs?,JASIST,Resources,Resources
Researchers' uses of and disincentives for sharing their research identity information in research information management systems,"What are the relationships among those activities, researchers' characteristics, and the extent of researchers' RIMS use?",JASIST,Performance Evaluation,Performance Evaluation
Researchers' uses of and disincentives for sharing their research identity information in research information management systems,What are researchers' reasons for not having a public RIMS profile?,JASIST,Resources,Resources
The impact of classification systems in the evaluation of the research performance of the Leiden Ranking universities,"comparing the consequences for the ranking of the 500 universities in the 2013 edition of the Leiden Ranking in two cases: (i) using a WoS journal‐level classification system with 236 categories versus the G8 publication‐level system based on the Waltman and Van Eck (2012) approach with 5,119 clusters, and (ii) using the G6 publication‐level system with 1,363 clusters versus the G8 system of the same family.",JASIST,Performance Evaluation,Performance Evaluation
Information triangulation: A complex and agentic everyday information practice,"This paper examines the emergent concept of information triangulation in everyday life, using data from the young parent study",JASIST,Resources,Resources
Twitter user geolocation by filtering of highly mentioned users,"we hypothesize that user geolocation will be improved by discriminating among different types of highly‐mentioned users (celebrities). To this end, we propose a clustering‐based approach to categorize celebrities into Local and Global types based on social network information",JASIST,Theory Proposal,Theory Proposal
Twitter user geolocation by filtering of highly mentioned users,"we demonstrate that Local celebrities are good location predictors for their ego networks (i.e., the part of network directly connected to them) whereas the Global celebrities have adverse effects on geolocation inference. We use a label propagation algorithm to propose a network‐based approach in which the underlying network is based on filtering celebrities, and show that it outperforms the state‐of‐the‐art network‐based approaches over three standard Twitter data sets",JASIST,Theory Proposal,Theory Proposal
Twitter user geolocation by filtering of highly mentioned users,we demonstrate that combining a text‐based back‐off strategy and the proposed network‐based approach achieves better results than other geolocation inference methods.,JASIST,Theory Proposal,Theory Proposal
The role of online communities in reducing urban–rural health disparities in China,this study is the first to integrate online communities in the study of healthcare gaps between urban and rural areas in China.,JASIST,Resources,Resources
The role of online communities in reducing urban–rural health disparities in China," our work proves the social value of online communities, which further enriches research on the value creation of online communities. ",JASIST,Resources,Theory Proposal
The role of online communities in reducing urban–rural health disparities in China," ERGM, which is used as an empirical approach, is an extraordinarily advanced method for analyzing complex networks and overcoming the main limitation of traditional analytical tools.",JASIST,Applications,New Algorithm or Method or Technology
Impacts of the use of social network sites on users' psychological well‐being: A systematic review,How does SNS use affect users' psychological well‐being?,JASIST,Performance Evaluation,Performance Evaluation
Impacts of the use of social network sites on users' psychological well‐being: A systematic review,"identify which variables have been used to measure the use of SNSs and users' psychological well‐being,",JASIST,Performance Evaluation,Performance Evaluation
Impacts of the use of social network sites on users' psychological well‐being: A systematic review,"What SNS platforms have been studied, and (iv) what research methods and theories were used in the reviewed studies.",JASIST,Performance Evaluation,Performance Evaluation
Defining textual entailment,exposing the shortcomings of the definitions offered by Dagan and collaborators,JASIST,Resources,Theory Proposal
Defining textual entailment,articulating an improved definition that avoids these shortcomings,JASIST,Theory Proposal,Theory Proposal
Defining textual entailment,defending our preferred definition against a range of objections.,JASIST,Theory Proposal,Theory Proposal
"Information‐Seeking Processes as Temporal Developments: Comparison of Stage‐based and Cyclic Approaches
Reijo Savolainen",the findings specify the nature of information‐seeking process by identifying two fundamental aspects making such processes intelligible,JASIST,Theory Proposal,Theory Proposal
"Information‐Seeking Processes as Temporal Developments: Comparison of Stage‐based and Cyclic Approaches
Reijo Savolainen",the study demonstrated that the above aspects have been conceptualized differently from the stage‐based and cyclic viewpoints.,JASIST,Performance Evaluation,Theory Proposal
"Information‐Seeking Processes as Temporal Developments: Comparison of Stage‐based and Cyclic Approaches
Reijo Savolainen","the findings highlight that cyclic models emphasizing the importance of feedback loops have gained more popularity, whereas the interest in the development of stage‐based approaches has decreased since the 1990s",JASIST,Model Optimization,Model Optimization
Managing Hypervisibility in the HIV Prevention Information‐Seeking Practices of Black Female College Students,Our findings contribute to human information behavior scholarship on marginalized groups.,JASIST,Resources,Resources
Managing Hypervisibility in the HIV Prevention Information‐Seeking Practices of Black Female College Students,study contributes to understanding how Black women adopt self‐protective behaviors to avoid stigma in the context of HIV prevention information seeking.,JASIST,Resources,Resources
Information technology and the humanities scholar: Documenting digital research practices,This research contributes to the understanding of humanities scholars' research practices that consist of new and old techniques and unique and ubiquitous tools.,JASIST,Resources,Resources
Information technology and the humanities scholar: Documenting digital research practices,This research contributes to our understanding of what it means to be a humanities scholar working in the digital age.,JASIST,Resources,Resources
Information technology and the humanities scholar: Documenting digital research practices,this research contributes to the recognition of the split between scholars who use tools to general visual outputs that provide new insights into texts and those who use tools to generate numeric outputs for further quantitative analysis.,JASIST,Performance Evaluation,Resources
A new approach to web co‐link analysis,the contribution of the study is to propose and test the feasibility of the new approach which has the potential of reviving co‐link analysis by mitigating the problem of the lack of co‐link data in recent years.,JASIST,New Algorithm or Method or Technology,Performance Evaluation
On the differences between citations and altmetrics: An investigation of factors driving altmetrics versus citations for finnish articles,"The findings from this study can contribute to the continued development of theoretical models and methodological developments associated with capturing, interpreting, and understanding altmetric events.",JASIST,Model Optimization,Resources
Which domains do open‐access journals do best in? A 5‐year longitudinal study,This study also makes a novel contribution by revealing the dynamic characteristics of open‐access journals with respect to their scientific impact.,JASIST,Resources,Theory Proposal
Art in an algorithm: A taxonomy for describing video game visual styles,This study presents a taxonomy of video game visual styles constructed from the findings of a 22‐participant cataloging user study of visual styles.,JASIST,Resources,Dataset Creation
A twitter case study for assessing digital sound,"contribute to the understanding of a text analysis approach to the study of references to sound recordings, and by extension, to other arts and humanities outputs. ",JASIST,Resources,Resources
"Are you satisfied yet? Shared leadership, individual trust, autonomy, and satisfaction in virtual teams",our study demonstrates that shared leadership helps to determine whether trust translates into more satisfaction,JASIST,Theory Proposal,Theory Proposal
"Are you satisfied yet? Shared leadership, individual trust, autonomy, and satisfaction in virtual teams","our findings show that shared leadership, unlike trust, is not related to autonomy, but, similar to trust, autonomy is positively related to satisfaction when shared leadership is low.",JASIST,Performance Evaluation,Theory Proposal
"Are you satisfied yet? Shared leadership, individual trust, autonomy, and satisfaction in virtual teams",this study identifies the theoretical linkage between shared leadership and the performance of virtual teams.,JASIST,Resources,Theory Proposal
Improving interpretations of topic modeling in microblogs,"Improved topic representation. We used an English lexical database, WordNet, along with the set of hashtags that exists in the corpus, to improve the set of keywords representing every topic by emphasizing the importance of distinctive terms in the distribution of every topic over the vocabulary of terms. Experimental results suggest that our method provides the user with better sets of keywords to represent each topic than does Twitter‐LDA, and it improves the user's interpretation of the detected topics.",JASIST,Model Optimization,Model Optimization
Improving interpretations of topic modeling in microblogs,"Customized taxonomy for a specific domain. Our proposed approach can be used to dynamically build a customized taxonomy for a specific domain. To illustrate this capability, we chose fashion as the domain in this study. Specifically, we use the maximal frequent itemsets extracted from the corpus to dynamically build a customized version of WordNet that contains fashion‐related terms. The customized WordNet can be used in different text mining tasks.",JASIST,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization
Improving interpretations of topic modeling in microblogs,Adjustment of the number of detected topics. We propose a mechanism to automatically adjust the number of topics to be presented to the user by merging topics represented by similar sets of keywords into a single topic. Experimental results suggest that the coherence of the merged topics is better than the coherence of the original topics.,JASIST,Algorithm or Method or Technology Optimization,New Algorithm or Method or Technology
Improving interpretations of topic modeling in microblogs,"Exploring changes of fashion topics over time. To illustrate the capability of the proposed method, we evaluate the method by exploring the fashion topics and showing how they were covered over time and how specific users covered these topics by their tweets. Finally, we evaluate our method on two datasets collected from Twitter. The results obtained from the experiments show that our method is better than the original Twitter‐LDA in terms of perplexity and topic coherence and provides better results in terms of the quality of the detected topics.",JASIST,Algorithm or Method or Technology Optimization,Performance Evaluation
Understanding the determinants and dynamic process of user exodus in social networking sites: Evidence from Kaixin001,our focus on the special SNS discontinuance phenomenon—user exodus—contributes to the IT discontinuance literature.,JASIST,Resources,Resources
Understanding the determinants and dynamic process of user exodus in social networking sites: Evidence from Kaixin001,our research offers a much more comprehensive view of users’ abandonment of SNS.,JASIST,Resources,Resources
Understanding the determinants and dynamic process of user exodus in social networking sites: Evidence from Kaixin001,"from a methodological perspective, this research adopted a mixed‐method approach combining laddering interview and network analysis.",JASIST,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization
The Closer the Better: Similarity of Publication Pairs at Different Cocitation Levels,explore the implications of cocitations at different levels of granularity,JASIST,Applications,Applications
Measuring the diffusion of an innovation: A citation analysis,"These findings thus contribute to the literature on the dynamic phases found in innovation diffusion. Also, topic‐level studies are found to play a critical role in bringing more granular perspectives to the existing co‐occurrence‐based analyses",JASIST,Resources,Resources
"A wikification prediction model based on the combination of latent, dyadic, and monadic features","A comprehensive analysis of our latent model performance. This analysis focused on comparison with representative baselines and on importance of components and features of our model. By comparing our model with best baseline in wikification using a sample of articles extracted from Wikipedia, we observed a gain up to 13% in the F1 score. Regarding the importance, we show that despite that the fact that the predictor based on link features (dyadic predictor) presents the best performance among the predictors, the combination of latent and dyadic predictors indicates they carry complementary information. Besides, we show which dyadic features contribute the most.",JASIST,Performance Evaluation,Performance Evaluation
"A wikification prediction model based on the combination of latent, dyadic, and monadic features","A study on the impact of ambiguous concepts on the proposed model. We observed a steady performance of the model independently from the degree of ambiguity of the concepts, even though no explicit disambiguation process is carried out. The same behavior was observed for the latent component, which suggests that the model naturally deals with ambiguity.",JASIST,Algorithm or Method or Technology Optimization,Model Optimization
"A wikification prediction model based on the combination of latent, dyadic, and monadic features","A study on the impact of the quality of the training samples on the performance of the prediction. We observed that high quality training samples led to better results in terms of precision and overlinking. However, no relevant difference was observed between models trained with high‐quality and medium‐quality rated samples.",JASIST,Performance Evaluation,Performance Evaluation
Collaborative exploratory search for information filtering and large‐scale information triage,"Our contribution is the hybrid strategy that we integrated into a real‐world setting, supported by qualitative results. Furthermore, this strategy is fully reproducible.",JASIST,Applications,Applications
Online consumer reviews and sales: Examining the chicken‐egg relationships,Our article contributes to the online review literature by adding the time factor and examines to what extent the prior findings hold,JASIST,Resources,Resources
Online consumer reviews and sales: Examining the chicken‐egg relationships,"Regarding research contributions, this study fills the gaps in the literature by contending the existence of a causality loop between online consumer reviews and sales. ",JASIST,Resources,Theory Proposal
Masking topic‐related information to enhance authorship attribution,A set of text distortion techniques (two of them newly introduced) are applied to AA tasks. The proposed techniques significantly enhance the effectiveness of existing AA methods in challenging conditions.,JASIST,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization
Masking topic‐related information to enhance authorship attribution,"To the best of our knowledge, we systematically examine for the first time the most challenging case in AA, that is, cross‐topic‐and‐genre attribution.",JASIST,Resources,Resources
Masking topic‐related information to enhance authorship attribution,"We demonstrate how the proposed text distortion techniques can be appropriately tuned to handle cross‐topic, cross‐genre, or cross‐topic‐and‐genre attribution.",JASIST,New Algorithm or Method or Technology,Theory Proposal
Masking topic‐related information to enhance authorship attribution,"We show how the proposed text distortion techniques can be combined with two existing AA methods, an instance‐based approach and a profile‐based approach (Stamatatos, 2009).",JASIST,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization
Masking topic‐related information to enhance authorship attribution,The differences between conversational and nonconversational genres are studied when performing cross‐topic or cross‐topic‐and‐genre attribution.,JASIST,Performance Evaluation,Performance Evaluation
Toward an anatomy of IR system component performances,the methodology for breaking down component effects and analyzing the GoPs across multiple evaluation measures;,JASIST,New Algorithm or Method or Technology,New Algorithm or Method or Technology
Toward an anatomy of IR system component performances,"the GoPs themselves, a valuable resource that can also be exploited for other kinds of analyses and which is available to the research community.1 They also provide a very extensive sample of the most commonly used components for English retrieval;",JASIST,Resources,Resources
Toward an anatomy of IR system component performances,"the application of the proposed methodology to two different search tasks: news search and web search, and their thorough analysis to derive insights on English retrieval.",JASIST,New Algorithm or Method or Technology,New Algorithm or Method or Technology
SUDMAD: Sequential and unsupervised decomposition of a multi‐author document based on a hidden markov model,"We propose to utilize the useful sequential correlations among the consecutive sentences to determine the authorial components and construct a two‐stage HMM called “SequentialUD” — Sequential Unsupervised Decomposition, to model the relationships between authorships and sentences.",JASIST,Model Construction,Model Construction
SUDMAD: Sequential and unsupervised decomposition of a multi‐author document based on a hidden markov model,"To further boost the performance of this approach, a boosted HMM learning procedure is proposed. The initial classification results obtained using the statistically learned and preliminary HMM are used to create a labeled training dataset to learn a more accurate HMM.",JASIST,Model Optimization,Dataset Creation
SUDMAD: Sequential and unsupervised decomposition of a multi‐author document based on a hidden markov model,"Moreover, the contextual relationships among sentences are further utilized to refine the classification results and a refined version of the SequentialUD is proposed.",JASIST,Model Optimization,Model Optimization
Location‐aware targeted influence maximization in social networks,We formally introduce the location‐aware targeted influence (LTIM) problem and propose efficient solutions to solve this problem.,JASIST,Theory Proposal,Theory Proposal
Location‐aware targeted influence maximization in social networks,"To efficiently identify the targeted users and compute their preferences for given queries, we propose a TR‐tree index structure. By traversing the TR‐tree in depth‐first order, we can efficiently obtain the preferences of the targeted users.",JASIST,New Algorithm or Method or Technology,New Algorithm or Method or Technology
Location‐aware targeted influence maximization in social networks,"We propose two efficient approximation algorithms with  approximation ratio, which can efficiently find seeds by pruning a large number of candidate seeds with small influences, and a fast heuristic algorithm for seeds selection by using users' discount local influences.",JASIST,New Algorithm or Method or Technology,New Algorithm or Method or Technology
Location‐aware targeted influence maximization in social networks,We conduct a comprehensive performance evaluation on real‐world data sets. The experimental results show the effectiveness and efficiency of our proposed algorithms.,JASIST,Performance Evaluation,Performance Evaluation
Identifying functional aspects from user reviews for functionality‐based mobile app recommendation,The proposed solution can be implemented as an effective real‐world app RS helping users to discover apps that meet their requirements,JASIST,Resources,Theory Proposal
"Characterizing, predicting, and handling web search queries that match very few or no results","First, we investigate the result retrieval and query suggestion mechanisms employed by the current web search engines to solve FNAQs. We show that, although these mechanisms improve the result quality of FNAQs, the problem is far from being completely solved. ",JASIST,Performance Evaluation,Performance Evaluation
"Characterizing, predicting, and handling web search queries that match very few or no results"," Second, we investigate an extreme case of FNAQs: queries for which no result can be retrieved by the search engine. We refer to such queries as no‐answer queries (NAQs) and make the first attempt to characterize such queries through a user study and a quantitative analysis.",JASIST,Theory Proposal,Performance Evaluation
"Characterizing, predicting, and handling web search queries that match very few or no results","Third, we build a machine‐learning model to predict the NAQs observed in a real‐life query log obtained from Yahoo! Web Search",JASIST,Model Construction,Model Construction
Trustworthiness attribution: Inquiry into insider threat detection,This article contributes a novel theoretical lens to examine dynamic insights on insider threat detection.,JASIST,Resources,Theory Proposal
A bibliometric model for identifying emerging research topics,This analysis can also contribute to further examine whether the proposed criteria for identifying emerging topics are appropriate and generate meaningful results.,JASIST,Resources,Resources
An analysis of the validity of retraction annotation in pubmed and the web of science,The aim of this work was to analyze in detail database inconsistencies as a contributing factor to the completeness and accuracy of retractions as a data basis in the databases PubMed and the WoS. The multiple segments of my study systematically revealed from different angles problems of completeness and consistency in PubMed and the WoS.,JASIST,Resources,Dataset Creation
Data set mentions and citations: A content analysis of full‐text publications,This paper provides a comprehensive understanding of how data sets are used in science and helps institutions and publishers make useful data policies.,JASIST,Resources,Dataset Creation
Metadata records machine translation combining multi‐engine outputs with limited parallel data,"It provided evidence and useful information about the performance of current MT technologies on metadata records, which is much needed by the digital library community in order to design and implement value‐added services, such as MLIA, for their digital collections. Especially, we found that MT strategies combining translation outputs from multiple low‐cost MT systems with a small, linguistically‐appropriate corpus could significantly improve translation performance.",JASIST,Theory Proposal,Theory Proposal
Consumer valuation of personal information in the age of big data,This article contributes to a better understanding of a quantitative approach to pricing personal information.,JASIST,Resources,Resources
"Understanding scientific collaboration: Homophily, transitivity, and preferential attachment","the different types of publications one author has written play different roles in his/her collaborations, where the more papers she/he has collaborated with others as non‐first‐authors, the more likely he/she will gain more collaboration, whereas people prefer not to coauthor with those who have produced similar numbers of single‐authored publications. ",JASIST,Theory Proposal,Theory Proposal
"Understanding scientific collaboration: Homophily, transitivity, and preferential attachment","The number of citations does not influence authors' collaboration preference, although sharing the same research interest or having the same gender is crucial for generating collaboration between two authors. An author's tendency to form new collaborations with her/his coauthors' collaborators is strong. ",JASIST,Theory Proposal,Theory Proposal
"Understanding scientific collaboration: Homophily, transitivity, and preferential attachment","The more coauthors one author has, the more new collaborators he or she will attract.",JASIST,Theory Proposal,Theory Proposal
Exploring the social influence of multichannel access in an online health community," we examine the factors influencing multichannel access to physicians in the online health communities. Whereas previous studies discussed user adoption, we extend them to multichannel access in the online health community and investigate the impacts of both social influence and patients' rating. ",JASIST,Resources,Resources
Exploring the social influence of multichannel access in an online health community,"Second, we introduce social influence research in the field of online health communities and extend existing research that focuses on the physician's basic factors and platform's characteristics. ",JASIST,Resources,Resources
Exploring the social influence of multichannel access in an online health community,"Third, we contribute to the social influence literature by demonstrating the intraorganizational competitive relationship, which is denoted by the negative moderating effect of social influence on the relationship between patients' rating and multichannel access to the physician in the online health communities.",JASIST,Resources,Theory Proposal
Internet usage and patient's trust in physician during diagnoses: A knowledge power perspective,"First, this study introduces a relatively comprehensive framework based on the knowledge power perspective. Although Internet search changes patients’ knowledge power (Lenert, 2009), our study analyzes its effect amidst other sources of knowledge power, including a physician's professional status, a patient's chronic conditions, and the execution of power through interaction quality. This framework suggests that the Internet search operates among other sources of knowledge powers to change the disparity. Overall, this framework can explain 37% of the variance in physician‐patient trust.",JASIST,Model Construction,Model Construction
Internet usage and patient's trust in physician during diagnoses: A knowledge power perspective,"Second, this study provides a contingent view of the effect of Internet search on physician‐patient trust. This view differs from prior studies that either stressed the benefit of Internet search (Chen, 2015) or raised concerns (Sharma, Xu, Wickramasinghe, & Ahmed, 2006). We found the effect is contingent on the consistency between patients’ self‐diagnosis and physician's diagnosis. The effect is particularly strong when patients search more. This finding helps to reconcile prior single‐sided observations.",JASIST,Theory Proposal,Theory Proposal
Internet usage and patient's trust in physician during diagnoses: A knowledge power perspective,"Third, this study compares the impact of Internet search and other knowledge sources. This study suggests that high‐touch is still a dominant factor in physician‐patient trust, whereas high‐tech plays a secondary role. A physician's explanation and feedback is still central to a patient's trust (Agius & Stangeland, 2016). Therefore, practitioners need not overreact to patients’ Internet search or regard it as a prominent challenge. On the other hand, this study confirms that physicians should not dismiss patients’ Internet search as trivial (Ahmad et al., 2006), especially when there is diagnosis inconsistency.",JASIST,Resources,Theory Proposal
Internet usage and patient's trust in physician during diagnoses: A knowledge power perspective,"Fourth, this study contributes to the Information Science (IS) literature in the domain of medical information. The IS literature has recognized the empowering nature of the Internet for patients (Jacobson, 2007). Jacobson (2007, p. 6) concluded that “whether health information found on the Internet is empowering for patients appears to depend on patients’ personal use of the information they retrieve as well as on physicians’ responses to these patients.” However, patients’ and physicians’ treatment of online information was treated as a black box. This study opens the black box by explaining how online information plays a part in their possession of knowledge.",JASIST,Resources,Resources
Toward effective automated weighted subject indexing: A comparison of different approaches in different environments,The findings from this study contribute to more effective weighted subject indexing.,JASIST,Resources,Resources
"Understanding the “expanded notion” of videogames as archival objects: A review of priorities, methods, and conceptions","The study aims to examine the drivers and motivations, selection of content and materials, and methods of archiving suggested in the archiving literature regarding the preservation of videogames in a generic sense (Table 3) and—which is of primary interest in the present paper and its principal knowledge contribution—as products of culture and social activity",JASIST,Resources,Resources
Information experience in personally meaningful activities,"In addition to conceptualizing personally meaningful information activities, this study contributes to information behavior theory more generally.",JASIST,Resources,Resources
"Materiality in information environments: Objects, spaces, and bodies in three outpatient hemodialysis facilities","This study demonstrates the sociomateriality of IEs, and that OSB play key roles at multiple sociomaterial layers of IEs. ",JASIST,Applications,Theory Proposal
Revisiting personal information management through information practices with activity tracking technology,"updating PIM theories against the new technological background of ubiquitous self‐tracking technologies,",JASIST,Theory Proposal,Algorithm or Method or Technology Optimization
Revisiting personal information management through information practices with activity tracking technology,"applying PIM concepts to understand how people interact with ATT, ",JASIST,Resources,Applications
Revisiting personal information management through information practices with activity tracking technology,providing methodological recommendations on using photo elicitation to enhance qualitative interviews in information behavior research.,JASIST,Algorithm or Method or Technology Optimization,"New Algorithm or Method or Technology
"
"Bias effects, synergistic effects, and information contingency effects: Developing and testing an extended information adoption model in social Q&A","First, this study extends the previous information adoption models by considering the contingency effects of information type",JASIST,Resources,Resources
"Bias effects, synergistic effects, and information contingency effects: Developing and testing an extended information adoption model in social Q&A","Second, this study theorizes and empirically tests the bias effects of heuristic processing and unconscious processing and identifies the boundary conditions under which bias effects occur. Previous information adoption models focused on the independent effects of different cognitive processes: heuristic processing versus systematic processing; and conscious processing and unconscious processing.",JASIST,Performance Evaluation,Model Optimization
"Bias effects, synergistic effects, and information contingency effects: Developing and testing an extended information adoption model in social Q&A","Third, this study reconciles the contradictory mechanisms of synergistic effects and identifies the boundary conditions under which different synergistic effects emerge.",JASIST,Theory Proposal,Theory Proposal
The Things We Talk About When We Talk About Browsing: An Empirical Typology of Library Browsing Behavior,The major contribution of this article is a new typology of library browsing behavior based on recent observations of browsing behavior in libraries.,JASIST,Theory Proposal,Theory Proposal
The Things We Talk About When We Talk About Browsing: An Empirical Typology of Library Browsing Behavior,The secondary contribution is an understanding of the interface features that would support these types of information browsers in an online environment.,JASIST,Resources,Performance Evaluation
The processes of maker learning and information behavior in a technology‐rich high school class,"In IS and LIS, this study deepens the knowledge on the integral role of information when people engage in creative production and learning. The findings show the processes of IB integrated in self‐directed, creative learning.",JASIST,Resources,Theory Proposal
